No,Peak Date/Time,DST Peak (nT),Btot Peak(nT),Bz Peak(nT),Flow Speed Peak (km/s),icme onsett (yyyy-mm-dd hh:mm),CME Onsett (yyyy-mm-dd hh:mm),Travel time (hours),Cme speed (km/s),MPA (Deg),AW (Deg),ACTIVE REGION,solar coord:,Flare,Uncertiainty,
41,2001-08-17 22:00,-105,25.66,-15.48,514.4,2001-08-17 11:07,2001-08-14 16:01,67.1,618,38,360,AR 09571,N24W19,C2.3,,
42,2001-09-26 02:00,-102,12.57,-11.03,666.8,2001-09-25 20:27,2001-09-24 10:30,34,2402,142,360,AR 09632,S16E23,X2.6,,
43,2001-10-01 09:00,-148,14.71,-13.71,499.8,2001-09-30 19:23,2001-09-28 08:54,58.5,846,140,360,AR 09636,N10E18,M3.3,,
44,2001-10-03 15:00,-166,22.07,-20.02,527.5,2001-10-03 0:22,2001-09-29 11:54,84.5,509,26,216,AR 09636,N14W01,M1.8,,
45,2001-10-21 22:00,-187,24.17,-21.8,643.6,2001-10-21 16:47,2001-10-19 16:50,48,901,273,360,AR 09661,N15W29,X1.6,,
46,2001-10-28 12:00,-157,11.63,-6.08,540.8,2001-10-28 3:13,2001-10-25 15:26,59.8,1092,175,360,AR 09672,S16W21,X1.3,,
47,2001-11-01 11:00,-106,10.41,-9.82,351.4,2001-10-31 13:06,2001-10-28 00:26,84.7,592,58,200,Quiet region,N12E31,NA,,
48,2001-11-06 07:00,-292,62.3,-53.7,dg,2001-11-05 9:05,2001-11-04 16:35,16.5,1810,239,360,AR 09684,N06W18,X1.0,u,
49,2001-11-24 17:00,-221,27.67,-9.16,946.5,2001-11-24 5:51,2001-11-22 23:30,30.4,1437,349,360,AR 09704,S17W36,M9.9,,
50,2002-03-24 10:00,-100,9.99,-8.38,443.5,2002-03-23 11:40,2002-03-20 17:54,65.8,603,89,360,AR 09871,S17W20,C3.3,,
51,2002-04-18 08:00,-127,13.42,-11.92,507.4,2002-04-17 10:20,2002-04-15 03:50,54.5,720,198,360,AR 09906,S15W01,M1.2,,
52,2002-04-20 09:00,-149,9.22,-8.02,607,2002-04-19 8:35,2002-04-17 08:26,48.2,1240,292,360,AR 09906,S14W34,M2.6,,
53,2002-05-11 20:00,-110,17.83,-16.5,436.1,2002-05-11 10:32,2002-05-08 13:50,68.7,614,229,360,AR 09934,S12W07,C4.2,,
54,2002-05-23 18:00,-109,13.58,-9.91,574.2,2002-05-23 10:05,2002-05-22 03:50,30.3,1557,250,360,Quiet region,S30W34,C5.0,,
55,2002-08-02 06:00,-102,13.82,-12.9,520.4,2002-08-01 4:58,2002-07-29 23:30,53.5,360,354,130,Quiet region,N16W08,C4.2,,
56,2002-08-21 07:00,-106,9.72,-8.17,449.9,2002-08-20 14:11,2002-08-18 21:54,40.3,682,202,140,AR 10069,S12W19,M2.2,,
57,2002-09-04 06:00,-109,17.33,-16.91,371.4,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
58,2002-09-08 01:00,-181,20.79,-20.81,560.5,2002-09-07 16:38,2002-09-05 16:54,47.7,1748,114,360,AR 10102,N09E28,C5.2,,
59,2002-10-01 17:00,-176,17.93,-13.52,391.9,2002-09-30 8:18,2002-09-25 20:30,107.8,150,39,170,NA,NA,NA,u,
60,2002-10-04 09:00,-146,11.78,-11.14,398.4,2002-10-2 22:56,2002-09-30 01:31,69.4,307,180,>124,Quiet region,S14W17,NA,,
61,2002-10-05 16:00,-102,10.72,-8.82,420,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
62,2002-10-07 08:00,-115,11.54,-8.97,369.2,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
63,2002-10-14 14:00,-100,15.97,-15.83,338.7,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
64,2002-11-21 11:00,-128,16.67,-10.11,615.3,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
65,2003-05-30 00:00,-144,30.51,-16.92,755.9,2003-05-29 12:28,2003-05-28 00:50,35.6,1366,292,360,AR 10365,S07W20,X3.6,,
66,2003-06-18 10:00,-141,20.23,-17.86,514,2003-06-16 3:00,2003-06-14 01:54,49.1,875,12,195,Quiet region,N20W10,NA,,
67,2003-07-12 06:00,-105,15.62,-15.56,601.4,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
68,2003-08-18 16:00,-148,17.36,-17.06,601.4,2003-08-17 14:23,2003-08-14 20:06,66.3,378,25,360,AR 10431,S10E02,C3.8,,
69,2003-10-30 01:00,-353,25.1,-14.1,dg,2003-10-29 06:00,2003-10-28 11:30,18.5,2459,15,360,AR 10486,S16E08,X17.,,
70,2003-10-30 23:00,-383,34,-31.1,dg,2003-10-30 17:00,2003-10-29 20:54,20.1,2029,190,360,AR 10486,S15W02,X10.,,
71,2003-11-20 21:00,-422,43.56,-43.44,607,2003-11-20 8:06,2003-11-18 08:50,47.3,1660,206,360,AR 10501,N00E18,M3.9,,
72,2004-01-22 14:00,-130,22.56,-19.47,647.8,2004-01-22 1:39,2004-01-20 00:06,49.6,965,224,360,AR 10540,S14W24,C5.5,,
73,2004-04-04 01:00,-117,10.19,-9.32,508.8,2004-04-03 9:06,NA,NA,NA,NA,NA,NA,NA,NA,,
74,2004-07-25 17:00,-136,24.89,-24.79,553.3,2004-07-24 6:26,2004-07-22 08:30,45.9,899,210,132,AR 10652,N04E10,C5.3,,
75,2004-07-27 14:00,-170,21.63,-19.74,852.3,2004-07-26 22:51,2004-07-25 14:54,32,1333,204,360,AR 10652,N08W33,M1.1,,
76,2004-08-30 23:00,-129,14.92,-14.79,434.5,2004-08-29 9:36,2004-08-26 12:30,69.1,184,205,119,AR 10664,S11W43,NA,,
77,2004-11-08 07:00,-374,42.81,-39.69,669.4,2004-11-07 10:50,2004-11-06 02:06,32.7,1111,21,>214,AR 10696,N09W01,M3.6,,
78,2004-11-10 11:00,-263,23.58,-25.49,723,2004-11-09 9:40,2004-11-07 16:54,40.8,1759,0,360,AR 10696,N09W17,X2.0,,
79,2005-01-18 09:00,-103,29.8,-21.46,739.5,2005-01-17 7:47,2005-01-15 23:06,32.7,2861,323,360,AR 10720,N15W05,X2.6,,
80,2005-05-08 19:00,-110,13.5,-12.02,674.8,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
81,2005-05-15 09:00,-247,49.69,-45.71,944.6,2005-05-15 2:46,2005-05-13 17:12,33.6,1689,2,360,AR 10759,N12E11,M8.0,,
82,2005-05-30 14:00,-113,16.09,-14.39,460,2005-05-29 10:06,2005-05-26 15:06,67,586,275,360,AR 10767,S07E12,B7.5,,
83,2005-06-13 01:00,-106,15.81,-15.18,509.3,2005-06-12 8:05,2005-06-09 14:36,65.5,377,267,125,AR 10775,N07E13   ,C1.5,,
84,2005-08-24 12:00,-184,55.44,-51.55,632.3,2005-08-24 6:21,2005-08-22 01:31,52.8,1194,220,360,AR 10798,S11W54,M2.6,,
85,2005-08-31 20:00,-122,19.73,-18.91,393.6,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
86,2005-09-11 11:00,-139,22.95,-13.53,1066,2005-09-11 1:16,2005-09-09 19:48,29.5,2257,115,360,AR 10808,S10E58,X6.2,,
87,2006-12-15 08:00,-162,12.66,-10.28,763.6,2006-12-14 14:46,2006-12-13 02:54,35.9,1774,193,360,AR 10930,S06W23,X3.4,,
88,2011-08-06 04:00,-115,12.32,-7.56,606.4,2011-08-05 18:00,2011-08-04 04:12,37.8,1315,298,360,AR 11261,N19W36,M9.3,,
89,2011-09-27 00:00,-118,13.62,-6.16,667.5,2011-09-26 12:35,2011-09-25 05:12,31.4,788,109,193,AR 11302,N11E47,M7.4,,
90,2011-10-25 02:00,-147,21.09,-20.88,530.2,2011-10-24 18:36,2011-10-22 01:25,65.2,593,354,360,AR 11326,N35W40,NA,,
91,2012-03-09 09:00,-145,17.91,-15.52,721.9,2012-03-08 11:00,2012-03-07 01:30,33.5,1825,82,360,AR 11429,N15E26,X1.3,,
92,2012-04-24 05:00,-120,13.81,-11.3,370.8,2012-04-23 3:24,2012-04-19 15:12,84.2,540,118,138,Quiet Region,S20E40,C1.8,,
93,2012-07-15 17:00,-139,24.92,-16.33,566.4,2012-07-14 18:12,2012-07-12 16:48,49.4,885,158,360,AR 11520,S15W01,X1.4,,
94,2012-10-01 05:00,-122,21.87,-17.3,420,2012-09-30 11:31,2012-09-28 00:12,59.3,947,251,360,AR 11577,N06W34,C3.7,,
95,2012-10-09 09:00,-109,15.92,-15.67,396.9,2012-10-08 5:25,2012-10-05 2:48,74.6,612,202,284,Quiet Region,S25W13,NA,,
96,2012-11-14 08:00,-108,18.13,-17.98,399.7,2012-11-12 16:15,2012-11-09 15:12,73.1,559,157,276,AR 11608,S20E09,NA,,
97,2013-03-17 21:00,-132,12.93,-10.87,616.7,2013-03-17 6:11,2013-03-15 07:12,47,1063,112,360,AR 11692,N11E12,M1.1,,
98,2013-06-01 09:00,-124,18.32,-17.91,422.9,CIR,NA,NA,NA,NA,NA,NA,NA,NA,,
99,2013-06-29 07:00,-102,11.56,-10.99,348.8,2013-06-27 14:30,2013-06-23 22:36,87.9,174,302,174,Quiet Region,N25W05,NA,,STEALTH
100,2014-02-19 09:00,-119,17.35,-14.89,475.1,2014-02-18 6:26,2014-02-16 10:00,44.4,634,227,360,AR 11977,S11E01,M1.1,,
101,2015-01-07 12:00,-107,22.56,-20.3,477,2015-01-07 1:00,2015-01-03 03:12,93.8,163,144,153,AR 12253,S06E09,C1.7,,STEALTH
102,2015-03-17 23:00,-234,19.29,-17.2,560.1,2015-03-17 4:31,2015-03-15 01:48,50.7,719,240,360,AR 12297,S22W25,C9.1,,
103,2015-06-23 05:00,-198,26.46,-25.09,729,2015-06-22 5:40,2015-06-21 02:36,27.1,1366,72,360,AR 12371,N12E16,M2.6,,
